"Analysis";"Langauge Code";"Year";"Breakpoint 1";"Breakpoint 2";"alpha";"beta1";"beta2";"intercept"
"Double Breakpoint R";"eng-gb";1883;8.74370894367006;10.2518691323182;-1.02482800296218;-0.426199345491445;-0.334257314435891;17.9095752229704
"Double Breakpoint R";"eng-gb";1884;8.70242499773494;10.1468872594623;-1.01603902195359;-0.417833583110386;-0.35288546960465;17.7399631066469
"Double Breakpoint R";"eng-gb";1885;8.72271346371637;10.1947737923512;-1.01535831942194;-0.417399198171482;-0.34167998025331;17.7811436150445
"Double Breakpoint R";"eng-gb";1886;8.68668284618772;10.1252395549079;-1.0035478032869;-0.418890229241634;-0.318288556124366;17.3522404532825
"Double Breakpoint R";"eng-gb";1887;8.69446241960683;10.1660009594524;-1.01044193837601;-0.418842272401399;-0.337874128968675;17.5614289714625
"Double Breakpoint R";"eng-gb";1888;8.75155894771533;10.2542548162756;-1.01428548666684;-0.426062771079493;-0.310079572431932;17.5611725383701
"Double Breakpoint R";"eng-gb";1889;8.7246871049822;10.261223313588;-1.00481017905244;-0.41761784224342;-0.306638414128096;17.4282434465067
"Double Breakpoint R";"eng-gb";1890;8.73059245740902;10.2054101191026;-1.00267663744646;-0.43199528524371;-0.328141189385844;17.404089555783
"Double Breakpoint R";"eng-gb";1891;8.68906692733667;10.2138554189987;-1.00158276847657;-0.427716308562623;-0.30166129320175;17.4720758629709
"Double Breakpoint R";"eng-gb";1892;8.67360010111975;10.2314966520692;-0.998681735604594;-0.432923392048287;-0.302708660365003;17.4693352355767
"Double Breakpoint R";"eng-gb";1893;8.70073831470183;10.2599899808326;-1.0014233073444;-0.432810365096837;-0.334325430811499;17.4792575527367
"Double Breakpoint R";"eng-gb";1894;8.71205384015516;10.2666246944684;-0.998544646803428;-0.416386139658674;-0.304719606266311;17.4130507299179
"Double Breakpoint R";"eng-gb";1895;8.75382717629966;10.3109418021525;-1.01202192224928;-0.422343284138301;-0.303419324461928;17.5946595993087
"Double Breakpoint R";"eng-gb";1896;8.75707008481405;10.2737446013332;-1.00940806594517;-0.428727706650885;-0.313253277245385;17.5616871587131
"Double Breakpoint R";"eng-gb";1897;8.70884723151157;10.309435563384;-1.00137921528127;-0.426221353245775;-0.317707494395288;17.4983359867751
"Double Breakpoint R";"eng-gb";1898;8.74472801463721;10.3113106685957;-1.0034454924418;-0.42831631644082;-0.318743276496405;17.5437131116662
"Double Breakpoint R";"eng-gb";1899;8.69106716882768;10.2714129813963;-1.00352997161297;-0.42806034528695;-0.310356450121158;17.5228123096503
"Double Breakpoint R";"eng-gb";1900;8.65968387473097;10.2757675124044;-0.996126228732862;-0.416711631438634;-0.314277432084916;17.4505042461242
"Double Breakpoint R";"eng-gb";1901;8.77212369924448;10.3795248830479;-1.00552608073761;-0.434220138786514;-0.304072953105162;17.5736863568878
"Double Breakpoint R";"eng-gb";1902;8.7217920831616;10.3180340691648;-1.00092957713064;-0.419818736621952;-0.343100055767654;17.6231295506553
"Double Breakpoint R";"eng-gb";1903;8.69747854966099;10.2497731463322;-1.00055530924686;-0.430912756315455;-0.309001595210492;17.6076387001248
"Double Breakpoint R";"eng-gb";1904;8.6989423394191;10.3172920498291;-0.999377723388453;-0.437228094073862;-0.30978937025323;17.678662403007
"Double Breakpoint R";"eng-gb";1905;8.73814596867737;10.3983367128786;-0.997276872158504;-0.447366948716837;-0.322551612102056;17.5910972586163
"Double Breakpoint R";"eng-gb";1906;8.75703478496865;10.3697314553355;-1.0013315571524;-0.436575971628985;-0.319080771153525;17.7481844375719
"Double Breakpoint R";"eng-gb";1907;8.65408568791283;10.2844844231313;-0.991513133098442;-0.441810085770356;-0.30976863960924;17.6386926554692
"Double Breakpoint R";"eng-gb";1908;8.68028333633792;10.3247363699443;-0.99312770007458;-0.441530467635051;-0.311057808651788;17.6668359444048
"Double Breakpoint R";"eng-gb";1909;8.68322649685058;10.3659456207071;-0.988773802693487;-0.456578347781596;-0.309469757728717;17.0749495782253
"Double Breakpoint R";"eng-gb";1910;8.74637691584477;10.4343284314182;-0.995812349909697;-0.437417268169551;-0.31764698782313;17.1652323036942
"Double Breakpoint R";"eng-gb";1911;8.66276272698459;10.3180284930889;-0.991154427182787;-0.45141328936173;-0.343562929761269;17.1770430678556
"Double Breakpoint R";"eng-gb";1912;8.71315230790383;10.3761495872235;-0.99154614816755;-0.466520471371885;-0.316180599775135;17.2830904952593
"Double Breakpoint R";"eng-gb";1913;8.70503054929317;10.4023006721398;-0.989634374715085;-0.464020083553979;-0.308677933722397;17.1431297617761
"Double Breakpoint R";"eng-gb";1914;8.63724157636434;10.3305695241445;-0.992534209960132;-0.445918399602162;-0.319942262987875;17.0934234735177
"Double Breakpoint R";"eng-gb";1915;8.64745854720677;10.3576411780731;-0.984028679342054;-0.444334724828804;-0.322533768309975;16.7334367483682
"Double Breakpoint R";"eng-gb";1916;8.61350590103183;10.3228925332215;-0.984750226991127;-0.434246444874637;-0.347992185112145;16.4132194677328
"Double Breakpoint R";"eng-gb";1917;8.58593927324393;10.2674096718768;-0.985953894251652;-0.463281818832049;-0.341925752289689;16.4088523126307
